route_name,direction,total_uses,00:00–01:00,03:00–04:00,06:00–07:00,07:00–08:00,08:00–09:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Alkmaar - Afsluitdijk - Leeuwarden 350,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hoorn Station - Den Helder Station via Den Oever 135,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hulst - Roosendaal 19,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hoogeveen - Meppel 34,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stavoren - Hemelum 103,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zwolle <-> Kampen SPR8500 Sprinter RS22,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zwolle <-> Kampen SPR8500 Sprinter RS22,return,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Schoonhoven - Gouda 497,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rotterdam Centraal <-> Utrecht Centraal IC2800 Intercity,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Appingedam - Groningen 178,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mijdrecht - Amsterdam Bijlmer 126,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stadskanaal - Gieten - Groningen 312,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Siegerswoude - Drachten Transferium Oost 6631,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
It Heechsân - Burgum Gemeentehûs 6081,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lijn 50,return,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lijn 50,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Minnertsga - St-Annaparochie - Leeuwarden 70,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Breda via Prinsenbeek - Zevenbergen 119,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Haarlem Station - Amsterdam Bijlmer ArenA 300,return,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Haarlem Station - Amsterdam Bijlmer ArenA 300,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Burdaard - Oentsjerk Heemstrastate 7153,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zwartsluis - Oldemarkt 70,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stroobos- Buitenpost Station 6041,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amsterdam Centraal <-> Hoorn SPR4800 Sprinter,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bocholt - Aalten C11,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leiden Centraal <-> Utrecht Centraal SPR5700 Sprinter,return,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
De Falom - Feanwâlden Station 7183,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Winschoten - Veendam 23,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Exmorra - Kop Afsluitdijk 9252,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Renesse - Spijkenisse Metro Centrum 104,return,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amersfoort - Veenendaal-De Klomp 80,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kerkrade Centrum <-> Maastricht Randwyck ST32000 Stoptrein RS18,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zutphen <-> Oldenzaal ST31200 Stoptrein RS24,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Uithoorn - Amstelveen KLM Hoofdkantoor 174,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Almelo <-> Hardenberg ST31000 Stoptrein RS21,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
St. Annaland - Bergen op Zoom 107,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Noordwijk - Leiden 21,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
De Esch -Woudhoek 11,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
De Esch -Woudhoek 11,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rotsterhaule - Heerenveen Busstation 8461,return,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beijum - Roden 4,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hengelo - Eibergen 53,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Monnickendam via Purmerend - Amsterdam Sloterdijk 103,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cirkellijn Schiphol P30 Parkeerterrein 180,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A'dam Lelylaan - Knooppunt Noord - (P30) 195,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Den Haag Centraal <-> Nijmegen IC3100 Intercity,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maastricht Station - Kanne (B) 13,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Enschede <-> Dortmund Hbf ST20200 Stoptrein,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Winschoten - Bellingwolde (- Bad Nieuweschans) 12,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Den Haag - Lansingerland - Rotterdam Capelsebrug 383,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Easterein - Sneek Busstation 8921,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Enschede Helmerhoek - Deppenbroek 2,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Leiden - Schiphol 365,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lijn C,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leeuwarden - Bolsward - Kop Afsluitdijk 92,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hindeloopen Museum - Station 9411,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hindeloopen Museum - Station 9411,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nijmegen - Venlo 83,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Overdinkel - Almelo 66,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sneek - Spannenburg - Lemmer 42,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zandvoort Centrum - Amsterdam Elandsgracht 80,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zandvoort Centrum - Amsterdam Elandsgracht 80,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amsterdam Centraal <-> Den Haag Centraal IC2100 Intercity,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nijetrijne - Wolvega Station 6381,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dokkum - Holwert - Leeuwarden 60,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Waaxens - Dokkum Busstation 7221,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vogelenzang Henk Lensenlaan - Huis te Bennebroek 9,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alphen a/d Rijn- Uithoorn 147,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zoutkamp - Groningen 65,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Augustinusga- Buitenpost Station 6491,return,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Emmeloord - Heerenveen - Groningen 315,return,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lijn 330 (R-net) Almere Buiten - A'dam Bijlmer,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vlinder Sittard Kemperkoul 805,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Groningen <-> Delfzijl ST37700 Stoptrein RS5,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Middelburg - Koudekerke - Vlissingen 56,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Huizen Busstation - Hilversum Station 108,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sittard Station via Baandert - Kemperkoul 1,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beverwaard - Rotterdam Centraal 3,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Emmen - Ter Apel - Veendam 73,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zwolle <-> Emmen S3800 Sneltrein RE20,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Utrecht - Amsterdam Bijlmer 120,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Utrecht - Amsterdam Bijlmer 120,return,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Stadskanaal - Winschoten 14,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sittard via Susteren - Maaseik 35,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roermond <-> Maastricht Randwyck ST32400 Stoptrein RS12,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oud Caberg via Heer - De Heeg 2,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dokkum - Leeuwarden - Bolsward 355,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tirns - Sneek Busstation 8811,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lijn 327 (R-net) Almere Haven - Amsterdam Amstel,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Station Centrum - Duinbeek 16,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Station Centrum - Duinbeek 16,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stadskanaal - Emmen 75,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Barneveld - Arnhem CS 105,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hengelo CS - Slangenbeek 13,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baijum - Dronryp Station 8022,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Twello - Apeldoorn 506,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hoogeveen - Emmen 27,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zwolle <-> Groningen SPR6100 Sprinter,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Schagen Station - Callantsoog Stuyvezandeweg 152,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bolsward - Workum - Balk - Sneek 44,return,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Daarlerveen/Den Ham - Nijverdal 594,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lelystad Centrum <-> Leeuwarden SPR9000 Sprinter,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Den Haag Centraal via Leidschendam - Leiden 45,return,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nijmegen CS - Gennep - Venlo Station 83,departure,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Twijzel - Buitenpost Station 6021,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zernike - HS - Martini - Eelde 9,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Skingen - Franeker Station 7983,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Emmen - Klazienaveen - Zwartemeer 93,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Den Haag Centraal <-> Dordrecht SPR5100 Sprinter,return,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Arnhem Centraal <-> Dordrecht SPR6600 Sprinter,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rottevalle - Drachten Carpool Noord 6161,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leeuwarden - Drachten - Heerenveen 20,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Holwert Veerdam - Leeuwarden 66,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Terneuzen - Zelzate 6,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hulst - Goes 20,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nuenen - Eindhoven Station 6,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
U-flex Maarssen / Utrecht-Noordwest 913,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Breda <-> Amersfoort Schothorst ICD1800 Intercity direct,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Geilenkirchen - Sittard SB3,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Almelo Station - Aalderinkshoek 525,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Katwijk ESA/ESTEC - Zoetermeer 400,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oosterwolde - Groningen 85,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Winsum - Leens 68,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nuenen - Eindhoven Station 6,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Terneuzen - Zelzate 6,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Staart/Papendrecht - Dordrecht CS - Centrum 14,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Katwijk - Rijnsburg - Leiden 31,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Warfstermolen - Buitenpost Station 7532,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rotstergaast - Heerenveen Busstation 8421,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kollumerpomp - Buitenpost Station 7522,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Assen - Groningen 50,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Garderen - Horst 501,departure,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Haarlem - Hillegom - Lisse - Leiden 250,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Uitgeest <-> Rotterdam Centraal SPR4000 Sprinter,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Uitgeest <-> Rotterdam Centraal SPR4000 Sprinter,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jannum - Dokkum Busstation 7121,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amsterdam Centraal <-> Amersfoort Vathorst SPR5800 Sprinter,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Almere Centrum <-> Utrecht Centraal SPR4900 Sprinter,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Amsterdam Centraal <-> Amersfoort Vathorst SPR5800 Sprinter,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Borculo - Almelo 95,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wageningen Busstation - Arnhem CS 352,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IJmuiden aan Zee - Amsterdam Sloterdijk 382,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rozenburg - Spijkenisse 115,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hieslum - Bolsward Busstation 9211,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nijhuizum - Workum Station 9351,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kolderwolde - Woudsend Centrum 9513,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Offingawier - Sneek Busstation 8931,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Drachten - Groningen 304,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Munnekeburen - Wolvega Station 6341,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Surhuisterveen - Groningen 39,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nieuw-Vennep - Hillegom - Noordwijk - Leiden 22,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Helmond Station - Mierlo - Eindhoven Station 24,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Buurtbus Egmond aan Zee - Schoorl 410,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leeuwarden Busstation - Grou 1,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tijnje - Akkrum Station 6642,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zuidland - Spijkenisse 116,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annen - Haren - P+R Meerstad - Tersluis/Harkstede 5,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arnhem Geitenkamp - Rijkerswoerd 7,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Den Helder Station - Schagen Station 30,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Boijl - Oosterwolde Busstation 6732,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Breda - Baarle-Nassau 132,departure,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Schalsum - Franeker Station 8032,return,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Arnhem CS - Elst - Nijmegen Brakkenstein 14,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wijchen <-> Zutphen SPR7600 Sprinter,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Burum - Buitenpost Station 7552,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Makkum - Bolsward - Sneek - Heerenveen 390,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BestelBuzz Blesk.-/Molenaarsgrf/Ottoland/Goudriaan bB,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lemmer - Sintjohannesga - Heerenveen 48,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Frieschepalen - Drachten Transferium Oost 6611,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eindhoven Kortonjolaan - Station 17,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eindhoven Kortonjolaan - Station 17,return,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hilversum Station - Baarn Oude A'damsestraatweg 9,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Boskoop - Leiden 187,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alphen a/d Rijn <-> Gouda SPR8600 Sprinter,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lijn 51,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lijn 51,return,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oosterwolde - Groningen 85,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Heteren - Arnhem CS 56,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Baijum - Dronryp Station 8022,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Groningen - Middelstum - Uithuizen 61,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wijk bij Duurstede - Zeist - Amersfoort 56,return,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wijk bij Duurstede - Zeist - Amersfoort 56,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oudega - Woudsend Centrum 9531,departure,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lemmer - Balk - Joure - Heerenveen 41,departure,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ubach over Worms - Heerlen 8,departure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lijn 369,return,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lijn 369,departure,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sittard via Born - Obbicht 16,departure,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
